类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,句子示例,,,,,,,,,,,
人际关系,人际关系,职场关系,,改善沟通、化解矛盾、建立良好职场关系,行为驱动-提升行动力,2,,,,,,,,,,,,,
人际关系,人际关系,职场关系,,改善沟通、化解矛盾、建立良好职场关系,行为驱动-目标达成,2,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,情感安抚-缓解压力,1,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,情感安抚-接纳自我,1,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,情感安抚-目标平和化,2,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,认知重构-增强自信,2,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,认知重构-目标达成,2,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,行为驱动-提升行动力,2,,,,,,,,,,,,,
人际关系,人际关系,冲突解决,,冷静应对、有效沟通、化解矛盾,行为驱动-目标达成,2,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,情感安抚-缓解压力,1,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,情感安抚-接纳自我,1,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,情感安抚-目标平和化,2,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,认知重构-增强自信,2,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,认知重构-目标达成,2,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,行为驱动-提升行动力,2,,,,,,,,,,,,,
人际关系,社交场景,社交焦虑,,缓解焦虑、增强自信、提升社交能力,行为驱动-目标达成,2,,,,,,,,,,,,,
人际关系,社交场景,内向,,接纳内向特质,情感安抚-接纳自我,1,,,,,,,,,,,,,
人际关系,社交场景,内向,,提升社交信心,认知重构-增强自信,2,,,,,,,,,,,,,
人际关系,社交场景,内向,,减少社交焦虑,行为驱动-习惯养成（渐进式社交适应）,2,,,,,,,,,,,,,
人际关系,社交场景,内向,,平衡独处与社交需求,动机唤醒-价值联结（独处价值与社交意义）,2,,,,,,,,,,,,,
人际关系,社交场景,敏感,,管理情绪过载,情感安抚-缓解压力,1,,,,,,,,,,,,,
人际关系,社交场景,敏感,,建立心理边界,认知重构-失败脱敏（他人评价非自我定义）,2,,,,,,,,,,,,,
人际关系,社交场景,敏感,,减少自我批判,情感安抚-接纳自我,1,,,,,,,,,,,,,
人际关系,社交场景,敏感,,转化敏感为创造力,意义构建-寻找生命意义,2,,,,,,,,,,,,,
人际关系,社交场景,被歧视,,维护自尊与自我价值,认知重构-增强自信,2,,,,,,,,,,,,,
人际关系,社交场景,被歧视,,寻求支持与归属,社会联结-增强归属感,2,,,,,,,,,,,,,
人际关系,社交场景,被歧视,,应对不公与愤怒,存在勇气激发-接纳存在孤独,2,,,,,,,,,,,,,
人际关系,社交场景,被歧视,,行动对抗歧视,行为驱动-目标达成（如倡导平等）,2,,,,,,,,,,,,,
通用场景,日常场景,起床,,快速清醒、建立积极心态、制定当日计划,情感安抚-缓解压力,1,,,,,,,,,,,,,
通用场景,日常场景,起床,,快速清醒、建立积极心态、制定当日计划,情感安抚-接纳自我,1,,,,,,,,,,,,,
通用场景,日常场景,起床,,快速清醒、建立积极心态、制定当日计划,认知重构-增强自信,2,,,,,,,,,,,,,
通用场景,日常场景,起床,,快速清醒、建立积极心态、制定当日计划,行为驱动-提升行动力,2,,,,,,,,,,,,,
通用场景,日常场景,娱乐,,充分放松、提升幸福感、平衡工作与生活,情感安抚-缓解压力,1,,我允许自己放松，此刻的平静是我应得的。,,,,,,,,,,,
通用场景,日常场景,娱乐,,充分放松、提升幸福感、平衡工作与生活,情感安抚-接纳自我,1,,,,,,,,,,,,,
通用场景,日常场景,睡前,,快速入眠、缓解焦虑、总结当日收获,情感安抚-缓解压力,1,,,,,,,,,,,,,
通用场景,日常场景,睡前,,快速入眠、缓解焦虑、总结当日收获,情感安抚-接纳自我,1,,,,,,,,,,,,,
通用场景,日常场景,睡前,,快速入眠、缓解焦虑、总结当日收获,认知重构-增强自信,2,,,,,,,,,,,,,
通用场景,日常场景,睡前,,快速入眠、缓解焦虑、总结当日收获,行为驱动-提升行动力,2,,,,,,,,,,,,,
通用场景,数字生活,虚拟世界依赖,,减少依赖、恢复现实生活平衡、建立健康数字习惯,情感安抚-目标平和化,2,,,,,,,,,,,,,
通用场景,数字生活,虚拟世界依赖,,减少依赖、恢复现实生活平衡、建立健康数字习惯,认知重构-增强自信,2,,,,,,,,,,,,,
通用场景,数字生活,虚拟世界依赖,,减少依赖、恢复现实生活平衡、建立健康数字习惯,认知重构-目标达成,2,,,,,,,,,,,,,
通用场景,数字生活,虚拟世界依赖,,减少依赖、恢复现实生活平衡、建立健康数字习惯,行为驱动-提升行动力,2,,,,,,,,,,,,,
通用场景,数字生活,虚拟世界依赖,,减少依赖、恢复现实生活平衡、建立健康数字习惯,行为驱动-目标达成,2,,,,,,,,,,,,,
通用场景,数字生活,数字工具使用,,提高效率、减少干扰、控制使用时长,情感安抚-目标平和化,2,,,,,,,,,,,,,
通用场景,数字生活,数字工具使用,,提高效率、减少干扰、控制使用时长,认知重构-增强自信,2,,,,,,,,,,,,,
通用场景,数字生活,数字工具使用,,提高效率、减少干扰、控制使用时长,认知重构-目标达成,2,,,,,,,,,,,,,
通用场景,数字生活,数字工具使用,,提高效率、减少干扰、控制使用时长,行为驱动-提升行动力,2,,,,,,,,,,,,,
通用场景,数字生活,数字工具使用,,提高效率、减少干扰、控制使用时长,行为驱动-目标达成,2,,,,,,,,,,,,,
通用场景,数字生活,信息过载,,筛选信息、缓解焦虑、保持专注,情感安抚-缓解压力,1,,,,,,,,,,,,,
通用场景,数字生活,信息过载,,筛选信息、缓解焦虑、保持专注,情感安抚-目标平和化,2,,,,,,,,,,,,,
通用场景,数字生活,信息过载,,筛选信息、缓解焦虑、保持专注,认知重构-增强自信,2,,,,,,,,,,,,,
通用场景,数字生活,信息过载,,筛选信息、缓解焦虑、保持专注,认知重构-目标达成,2,,,,,,,,,,,,,
通用场景,数字生活,信息过载,,筛选信息、缓解焦虑、保持专注,行为驱动-提升行动力,2,,,,,,,,,,,,,
通用场景,数字生活,信息过载,,筛选信息、缓解焦虑、保持专注,行为驱动-目标达成,2,,,,,,,,,,,,,
自我认知,夸夸,内在特质夸夸,,增强自我认同、建立积极自我认知,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,夸夸,外在特质夸夸,,提升自信、接纳外在形象,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,夸夸,能力与成就夸夸,,增强自信、认可自我价值,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,夸夸,成长进步夸夸,,激励自我、保持成长动力,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,夸夸,独特性夸夸,,增强自我认同、接纳独特性,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,情感安抚-接纳自我,1,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,情感安抚-目标平和化,2,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,认知重构-目标达成,2,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,行为驱动-提升行动力,2,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,行为驱动-目标达成,2,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,情感安抚-缓解压力,1,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,情感安抚-接纳自我,1,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,情感安抚-目标平和化,2,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,认知重构-增强自信,2,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,认知重构-目标达成,2,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,行为驱动-提升行动力,2,,,,,,,,,,,,,
自我认知,自我价值,价值感确立,,明确价值观、找到人生意义、建立目标感,行为驱动-目标达成,2,,,,,,,,,,,,,
自我认知,自我价值,内在自信,,建立内在自信、减少自我怀疑、肯定自我价值,情感安抚-缓解压力,1,,,,,,,,,,,,,
自我认知,自我认知,身份认同困惑,,整合多重身份标签,意义构建-寻找生命意义,2,,,,,,,,,,,,,
自我认知,自我认知,身份认同困惑,,减少社会期待压力,自主选择与担当-获得选择的力量,2,,,,,,,,,,,,,
自我认知,自我认知,身份认同困惑,,明确核心价值观,动机唤醒-价值联结,2,,,,,,,,,,,,,
自我认知,自我认知,身份认同困惑,,接纳身份流动性,认知重构-失败脱敏（社会标准的“失败”）,2,,,,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,,减少自我冲突,动机唤醒-价值联结（统一内在价值）,2,,,,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,,提升决策力,认知重构-目标具象化（分解矛盾选项）,2,,,,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,,缓解过度思虑,情感安抚-目标平和化,1,,,,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,,整合分裂的自我认知,存在勇气激发-接纳存在孤独（直面矛盾）,2,,,,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,,,行为驱动-目标达成,2,,,,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,,,行为驱动-目标达成,2,,,,,,,,,,,,,
擦拭信念,内在特质,坚固信心,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,内在特质,坚固信心,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,内在特质,坚固信心,,,行为驱动-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求理想,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求理想,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求理想,,,行为驱动-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求梦想,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求梦想,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求梦想,,,行为驱动-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求善良,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求善良,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求善良,,,行为驱动-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求爱,,,认知重构-目标达成,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求爱,,,行为驱动-提升行动力,2,,,,,,,,,,,,,
擦拭信念,个人追求,追求爱,,,行为驱动-目标达成,2,,,,,,,,,,,,,
