知乎资料,来源,最终结果,权重,句子,合集,感情状况,最近的感觉,什么让你有这种感觉
https://www.zhihu.com/question/505024365/answer/2269892465 https://www.zhihu.com/question/655812741/answer/3502549964 https://www.zhihu.com/question/287849222/answer/458128741 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/633364716/answer/3424618060,3号,我说的话虽不多，但每一句都能触及他人的灵魂。,2,我说的话虽不多，但每一句都能触及他人的灵魂。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['很好', '一般']","['自己', '感情', '朋友']"
https://www.zhihu.com/question/653772835/answer/3477653544 https://www.zhihu.com/question/653773119/answer/3486453372 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/19866801/answer/2177414614 https://www.zhihu.com/question/657210929/answer/3520739385,3号,在奔波中我体验生命，在静坐中我感受存在。,1,在奔波中我体验生命，在静坐中我感受存在。,平和心境,"['快乐地单身着', '单身但准备好了开始新的恋情']",['很好'],['自己']
https://www.zhihu.com/question/398907816/answer/3023985960 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/522688509/answer/2462647129,3号,我心里有数，脚步从未乱过。,1,我心里有数，脚步从未乱过。,自信,['快乐地单身着'],['很好'],['自己']
,2号,我会在自我怀疑中寻找力量，塑造更坚韧的自我。,1,我会在自我怀疑中寻找力量，塑造更坚韧的自我。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['不开心', '一般']",['自己']
,2号,改变现实并非始于逃避，而是深入了解和踏出行动。,1,改变现实并非始于逃避，而是深入了解和踏出行动。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
https://www.zhihu.com/question/639212137/answer/3360367662 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/537197073/answer/2525137981 https://www.zhihu.com/question/267342174/answer/1656513497 https://www.zhihu.com/question/20248729/answer/2067118565,3号,我是自己故事的主角。,2,我是自己故事的主角。,个人成长,"['快乐地单身着', '正在恋爱', '单身但准备好了开始新的恋情']","['开心', '很好', '一般']",['自己']
https://www.zhihu.com/question/20386438/answer/1205529015 https://www.zhihu.com/question/19733748/answer/729055660 https://www.zhihu.com/question/702690752/answer/4730094577 https://www.zhihu.com/question/522688509/answer/2462647129 https://www.zhihu.com/question/509380670/answer/3584463951 ,3号,我的步伐从容，每一步都印证着自信的力量。,1,我的步伐从容，每一步都印证着自信的力量。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/501939961/answer/2248333503 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我的价值不在于他人的话语，而在于我内心的声音。,1,我的价值不在于他人的话语，而在于我内心的声音。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']",['自己']
,2号,我视错误为成长契机而非失败。,1,我视错误为成长契机而非失败。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好', '一般']",['自己']
,2号,我理解坚持并非一帆风顺，而是敢于面对和处理一切曲折。,2,我理解坚持并非一帆风顺，而是敢于面对和处理一切曲折。,成为英雄,"['快乐地单身着', '正在恋爱', '单身但准备好了开始新的恋情']",['一般'],['自己']
https://www.zhihu.com/question/20307773/answer/2553466989 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/304564566/answer/2041446980 ,3号,我决定远离伤害自己的行为。,1,我决定远离伤害自己的行为。,治愈之旅,"['正在恋爱', '快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好', '糟糕']","['感情', '自己']"
https://www.zhihu.com/question/27201150/answer/1917640700 https://www.zhihu.com/question/410625114/answer/1370349014 https://www.zhihu.com/question/612708454/answer/3138598261,3号,我不以拯救者自居，而是作为伙伴携手同行。,1,我不以拯救者自居，而是作为伙伴携手同行。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']","['自己', '朋友', '感情']"
,2号,我允许自己有休息的时候，这是为了积蓄力量，更好地出发。,2,我允许自己有休息的时候，这是为了积蓄力量，更好地出发。,自我关怀,"['快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['一般', '很好']",['自己']
https://www.zhihu.com/question/541520931/answer/2558791041 https://www.zhihu.com/question/425223995/answer/1681849717 https://www.zhihu.com/question/425223995/answer/1681849717 https://www.zhihu.com/question/658500955/answer/3529099858 https://www.zhihu.com/question/543823963/answer/2579461654,3号,在这纷扰的背景中，我依然能发现爱的印记。,2,在这纷扰的背景中，我依然能发现爱的印记。,情感疗愈,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']",['很好'],['感情']
https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/509380670/answer/3584463951 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我在每一次的不快中，学会了善待自己。,1,我在每一次的不快中，学会了善待自己。,自我关怀,"['快乐地单身着', '处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好']",['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/302561314/answer/1879241996 https://www.zhihu.com/question/33177396/answer/2609265641 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/354168630/answer/2703001781,3号,我选择前行，每一步都是自我肯定。,2,我选择前行，每一步都是自我肯定。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
 https://www.zhihu.com/question/59242753/answer/2537739998 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/413996947/answer/1409370789,3号,我能勇敢面对自己的错误。,2,我能勇敢面对自己的错误。,成为英雄,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']",['很好'],['自己']
,2号,我独立注重事实，让它成为我决策和看法的坚实支点。,1,我独立注重事实，让它成为我决策和看法的坚实支点。,自信,['快乐地单身着'],"['很好', '一般']",['自己']
https://www.zhihu.com/question/418384281/answer/1447819441 https://www.zhihu.com/question/521749945/answer/2418263834 https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/296898800/answer/2268747553,3号,岁月悠长，我懂得尊重过去，也有勇气改写未来。,1,岁月悠长，我懂得尊重过去，也有勇气改写未来。,成为英雄,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']",['自己']
https://www.zhihu.com/question/19666646/answer/12792783 https://www.zhihu.com/question/27201150/answer/1917640700 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/315494956/answer/1465036439,3号,我的情绪千变万化且属于我。,2,我的情绪千变万化且属于我。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['不开心', '一般']",['自己']
,2号,我拥抱规律的作息，因为它是我享受充实生活和幸福的前提。,2,我拥抱规律的作息，因为它是我享受充实生活和幸福的前提。,个人成长,['快乐地单身着'],['很好'],['自己']
https://www.zhihu.com/question/19666646/answer/12792783 https://www.zhihu.com/question/27201150/answer/1917640700 https://www.zhihu.com/question/27201150/answer/1917640700 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/315494956/answer/1465036439,3号,我学会说不，这是我的成长。,2,我学会说不，这是我的成长。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/25583089/answer/899020828 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/19866801/answer/2177414614 https://www.zhihu.com/question/25583089/answer/899020828,3号,我在职业规划上的每一笔，都将绘就自己生命的宏图。,1,我在职业规划上的每一笔，都将绘就自己生命的宏图。,个人成长,"['处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '开心']",['工作']
,2号,我珍视当下的每一个瞬间，因为它们构成了真实的自我。,1,我珍视当下的每一个瞬间，因为它们构成了真实的自我。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '开心']",['自己']
,2号,我以行动书写与世界的紧密联系篇章。,1,我以行动书写与世界的紧密联系篇章。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '开心']","['自己', '朋友', '感情']"
https://www.zhihu.com/question/541520931/answer/2558791041 https://www.zhihu.com/question/425223995/answer/1681849717 https://www.zhihu.com/question/425223995/answer/1681849717 https://www.zhihu.com/question/658500955/answer/3529099858 https://www.zhihu.com/question/543823963/answer/2579461654,3号,混乱中寻找秩序，我在冲突中寻找彼此的心。,2,混乱中寻找秩序，我在冲突中寻找彼此的心。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '有点辛苦的暗恋']","['一般', '不好']","['朋友', '感情']"
,2号,我感激挑战，它们助我成长。,1,我感激挑战，它们助我成长。,个人成长,['快乐地单身着'],"['一般', '很好']",['自己']
,2号,我珍惜自己的独立性，我的选择和行动塑造我的命运。,1,我珍惜自己的独立性，我的选择和行动塑造我的命运。,自信,['快乐地单身着'],"['开心', '很好']",['自己']
,2号,我会根据情况分级信任，不单一地对待所有人。,1,我会根据情况分级信任，不单一地对待所有人。,人际交往,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['朋友', '感情']"
,2号,我拥抱失望，它让我更坚强。,1,我拥抱失望，它让我更坚强。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '不好']","['自己', '感情']"
,2号,我在逆境中发现自己的力量。,1,我在逆境中发现自己的力量。,自信,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],['自己']
https://www.zhihu.com/question/398907816/answer/3023985960 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/522688509/answer/2462647129,3号,我在风平浪静中也学会了审视暗涌。,1,我在风平浪静中也学会了审视暗涌。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情']",['一般'],['感情']
https://www.zhihu.com/question/430513997/answer/1591066367 https://www.zhihu.com/question/404884534/answer/2658513818 https://www.zhihu.com/question/407934212/answer/1350882472 https://www.zhihu.com/question/32159310/answer/1065726051,3号,我每一次小小的尝试，都是值得称赞的一步。,1,我每一次小小的尝试，都是值得称赞的一步。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我能够独立自主地生活，不为他人的评价所左右。,1,我能够独立自主地生活，不为他人的评价所左右。,自信,['快乐地单身着'],"['很好', '开心']",['自己']
https://www.zhihu.com/question/27201150/answer/1917640700 https://www.zhihu.com/question/410625114/answer/1370349014 https://www.zhihu.com/question/612708454/answer/3138598261,3号,我以他人的视角看世界，用心灵感知他们的世界。,1,我以他人的视角看世界，用心灵感知他们的世界。,人际交往,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '很好']","['朋友', '感情']"
https://www.zhihu.com/question/27201150/answer/1917640700 https://www.zhihu.com/question/410625114/answer/1370349014 https://www.zhihu.com/question/612708454/answer/3138598261,3号,我倾听每个人的故事，用我的倾听去温暖他们的心房。,1,我倾听每个人的故事，用我的倾听去温暖他们的心房。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '有点辛苦的暗恋']","['开心', '很好']","['朋友', '感情']"
https://www.zhihu.com/question/418006057/answer/1827778336 https://www.zhihu.com/question/654156651/answer/3540658598 https://www.zhihu.com/question/399284396/answer/1825400028,3号,昨日的伤痕，不过是明日愈合的前奏，我勇敢地接受它。,2,昨日的伤痕，不过是明日愈合的前奏，我勇敢地接受它。,成为英雄,"['最近刚分手', '有点辛苦的暗恋']","['不好', '糟糕']",['感情']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/52506086/answer/2758913171 ,3号,我的生活，握在自己的手中；我的未来，由我开创。,2,我的生活，握在自己的手中；我的未来，由我开创。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '开心', '很好']",['自己']
https://www.zhihu.com/question/644505985/answer/3434650809 https://www.zhihu.com/question/613282723/answer/3153452413 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/550654726/answer/2651564889,3号,我允许内疚感存在，因为这是我勇于认错的表现。,1,我允许内疚感存在，因为这是我勇于认错的表现。,成为英雄,['处在一段艰难的亲密关系中'],"['不好', '糟糕']",['感情']
,2号,我将生活中的每一次产出，化作与世界相拥的力量。,1,我将生活中的每一次产出，化作与世界相拥的力量。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']","['工作', '自己']"
,2号,我的每一滴汗水都是向着自给自足和感恩前进的脚步。,1,我的每一滴汗水都是向着自给自足和感恩前进的脚步。,个人成长,['快乐地单身着'],['很好'],['自己']
,2号,我接受挑战，挑战使我成长。,1,我接受挑战，挑战使我成长。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,即使在没有光的路上，我也能找到自己的方向。,2,即使在没有光的路上，我也能找到自己的方向。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
,2号,我相信理性的力量，它能帮助我在混乱中寻找到答案。,1,我相信理性的力量，它能帮助我在混乱中寻找到答案。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我能够自主决定自己的追求，不受外界定义左右。,1,我能够自主决定自己的追求，不受外界定义左右。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['开心', '很好', '一般']",['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/302561314/answer/1879241996 https://www.zhihu.com/question/33177396/answer/2609265641 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/354168630/answer/2703001781,3号,我会以冷静的心态面对拒绝，它只会让我更加坚定。,2,我会以冷静的心态面对拒绝，它只会让我更加坚定。,自信,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
,2号,我感谢每一次的选择，因为它们塑造了独特的我。,1,我感谢每一次的选择，因为它们塑造了独特的我。,自我关怀,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
https://www.zhihu.com/question/644505985/answer/3434650809 https://www.zhihu.com/question/613282723/answer/3153452413 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/550654726/answer/2651564889,3号,这份内疚，为我指明了前进的方向，教我更好地负责。,1,这份内疚，为我指明了前进的方向，教我更好地负责。,治愈之旅,"['处在一段艰难的亲密关系中', '最近刚分手']","['不好', '糟糕']","['感情', '自己']"
 https://www.zhihu.com/question/33449319/answer/2684088591 https://www.zhihu.com/question/287849222/answer/458128741 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/633364716/answer/3424618060,3号,我坚持原则，同时也在与人交往中寻找温暖的光。,2,我坚持原则，同时也在与人交往中寻找温暖的光。,人际交往,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']","['朋友', '自己']"
,2号,我感激生命中的挑战，它们塑造了我。,2,我感激生命中的挑战，它们塑造了我。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['不错', '很好']",['自己']
https://www.zhihu.com/question/639212137/answer/3360367662 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/537197073/answer/2525137981 https://www.zhihu.com/question/267342174/answer/1656513497 https://www.zhihu.com/question/20248729/answer/2067118565,3号,我如河边石，任流水潺潺，不随波逐流。,2,我如河边石，任流水潺潺，不随波逐流。,平和心境,['快乐地单身着'],['一般'],['自己']
https://www.zhihu.com/question/311454939/answer/724450650 https://www.zhihu.com/question/35897124/answer/3632185460 ,3号,我的容貌是时间的见证，它具有独一无二的美。,1,我的容貌是时间的见证，它具有独一无二的美。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我所积累的善行和善意，是我对抗恐惧的力量。,1,我所积累的善行和善意，是我对抗恐惧的力量。,治愈之旅,"['快乐地单身着', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好']",['自己']
,2号,即便面对错误，我也能从中学到宝贵的一课，继续前行。,1,即便面对错误，我也能从中学到宝贵的一课，继续前行。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱', '处在一段艰难的亲密关系中']","['很好', '开心']","['朋友', '自己', '学业']"
,2号,我能够创造我自己的可能性，不受他人观点的限制。,2,我能够创造我自己的可能性，不受他人观点的限制。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/25583089/answer/899020828 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/19866801/answer/2177414614 https://www.zhihu.com/question/25583089/answer/899020828,3号,我承认我的职业道路充满挑战，我欣然接受这份探索。,1,我承认我的职业道路充满挑战，我欣然接受这份探索。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['工作']
,2号,我对自己负责，不将控制权交给他人。,1,我对自己负责，不将控制权交给他人。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
https://www.zhihu.com/question/472210725/answer/2108768226 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/276648150/answer/2761861616 https://www.zhihu.com/question/484883057/answer/2104662616 https://www.zhihu.com/question/273390297/answer/1839256319 https://www.zhihu.com/question/522688509/answer/2462647129,3号,我看事物或许模糊，但我愿意擦拭眼睛，迎接清晰。,2,我看事物或许模糊，但我愿意擦拭眼睛，迎接清晰。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '不好']",['自己']
,2号,我愿意理解他人需求不易满足的困境，不因此产生无谓的自责。,2,我愿意理解他人需求不易满足的困境，不因此产生无谓的自责。,情感疗愈,['处在一段艰难的亲密关系中'],['一般'],"['感情', '自己']"
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/302561314/answer/1879241996 https://www.zhihu.com/question/354168630/answer/2703001781 https://www.zhihu.com/question/660929832/answer/3563707846 https://www.zhihu.com/question/540214555/answer/2548225605,3号,我对结果的忧虑是真诚的，但内心的爱更是真挚。,1,我对结果的忧虑是真诚的，但内心的爱更是真挚。,情感疗愈,"['处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['不好', '糟糕']",['感情']
,2号,我不会沉沦于怨恨，而是选择释怀和向前看。,1,我不会沉沦于怨恨，而是选择释怀和向前看。,成为英雄,"['处在一段艰难的亲密关系中', '最近刚分手']","['一般', '不好']",['感情']
,2号,我是自己梦想的建筑师，不会因途中的颠簸而放弃前行。,1,我是自己梦想的建筑师，不会因途中的颠簸而放弃前行。,个人成长,"['单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '开心']","['自己', '感情']"
,2号,每次创造都是与他人结盟的契机，孤独在此无处藏身。,2,每次创造都是与他人结盟的契机，孤独在此无处藏身。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '开心']","['朋友', '工作', '学业']"
,2号,我意识到自己工作的意义，它超越了个人孤独的意义。,1,我意识到自己工作的意义，它超越了个人孤独的意义。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']","['工作', '自己']"
https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/23418252/answer/659008704 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/296898800/answer/2268747553,3号,我的心声，或许微弱，但对于愿意倾听的他/她，它们是宝贵的。,2,我的心声，或许微弱，但对于愿意倾听的他/她，它们是宝贵的。,人际交往,"['快乐地单身着', '正在恋爱', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['开心', '很好', '一般']","['感情', '朋友']"
,2号,我感谢让我成长的经历。,1,我感谢让我成长的经历。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']","['朋友', '家庭', '工作', '学业', '自己']"
,2号,我的每一点努力都在为将来铺路。,1,我的每一点努力都在为将来铺路。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我能够控制情绪，不被攻击性左右。,1,我能够控制情绪，不被攻击性左右。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中']","['一般', '很好']",['自己']
,2号,我视损失为寻宝必经路。,2,我视损失为寻宝必经路。,个人成长,['单身但准备好了开始新的恋情'],['很好'],"['自己', '工作']"
https://www.zhihu.com/question/587015076/answer/3579408716 https://www.zhihu.com/question/501939961/answer/2248333503 https://www.zhihu.com/question/587015076/answer/3579408716 ,3号,我看见自我，也学会欣赏他人的光。,1,我看见自我，也学会欣赏他人的光。,人际交往,"['正在恋爱', '快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",['很好'],"['自己', '朋友']"
,2号,我理解焦虑来自于对未来的恐惧，我选择勇敢地面对它。,1,我理解焦虑来自于对未来的恐惧，我选择勇敢地面对它。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['一般', '不好']",['自己']
,2号,面对问题，我不逃避，而是勇敢迎接，寻找答案。,1,面对问题，我不逃避，而是勇敢迎接，寻找答案。,成为英雄,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '开心']",[]
https://www.zhihu.com/question/587015076/answer/3579408716 https://www.zhihu.com/question/501939961/answer/2248333503 https://www.zhihu.com/question/587015076/answer/3579408716 ,3号,我在体谅和理解中成长，与他人的联结成为我的财富。,1,我在体谅和理解中成长，与他人的联结成为我的财富。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",['很好'],"['朋友', '感情', '人际交往']"
,2号,我选择通过行动展现我的价值观，而不仅是通过言语。,1,我选择通过行动展现我的价值观，而不仅是通过言语。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱']","['一般', '很好']","['自己', '朋友', '家庭', '工作']"
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我对自己的宽容和理解，是我在人海中给予自己最温暖的拥抱。,2,我对自己的宽容和理解，是我在人海中给予自己最温暖的拥抱。,自我关怀,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']",['很好'],['自己']
,2号,我不凭传言定论，我的世界以理性为镜，以真实为准。,1,我不凭传言定论，我的世界以理性为镜，以真实为准。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']",['一般'],['自己']
https://www.zhihu.com/question/26913812/answer/3380669507 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/273390297/answer/1839256319 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我与世界对话，首先要学会倾听自己的心声。,1,我与世界对话，首先要学会倾听自己的心声。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],['自己']
https://www.zhihu.com/question/19667945/answer/2120044151 https://www.zhihu.com/question/21732989/answer/1967603425 https://www.zhihu.com/question/539615323/answer/2573303666 https://www.zhihu.com/question/20080219/answer/2229301858 https://www.zhihu.com/question/265741216/answer/1668314847 https://www.zhihu.com/question/21732989/answer/1967603425,3号,我把握的每一分权力，都以尊重他人自由为前提。,2,我把握的每一分权力，都以尊重他人自由为前提。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",['一般'],"['感情', '朋友']"
,2号,我能通过我的关怀和支持，让人感受到被接纳。,2,我能通过我的关怀和支持，让人感受到被接纳。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",['很好'],"['朋友', '感情']"
https://www.zhihu.com/question/644505985/answer/3434650809 https://www.zhihu.com/question/613282723/answer/3153452413 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/550654726/answer/2651564889,3号,我不因求之不得而心生愤懑，爱的能力在我的心里，不在外物。,2,我不因求之不得而心生愤懑，爱的能力在我的心里，不在外物。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['感情', '自己']"
,2号,我能诚实地面对自己的感受，并找到适当的方式释放压力。,2,我能诚实地面对自己的感受，并找到适当的方式释放压力。,自我关怀,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
https://www.zhihu.com/question/529848226/answer/2458681726 https://www.zhihu.com/question/444218782/answer/1783979493 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/808437605/answer/4724144069 https://www.zhihu.com/question/446246842/answer/1749753357,3号,经历是我行走的足迹，它教会我坚韧。,1,经历是我行走的足迹，它教会我坚韧。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
,2号,我在做出决策时会考虑到他人的感受和立场。,1,我在做出决策时会考虑到他人的感受和立场。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']","['感情', '朋友']"
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/474196057/answer/2024559468,3号,我感受他人的喜悦和忧愁，如同是我自己的。,1,我感受他人的喜悦和忧愁，如同是我自己的。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']","['感情', '朋友', '家庭']"
,2号,我认识到坚持并不只是意愿的问题，而是策略和节奏的巧妙平衡。,2,我认识到坚持并不只是意愿的问题，而是策略和节奏的巧妙平衡。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
