大场景,子场景,选项,用户问题/症状,用户1级需求,用户2级需求
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,过度妥协（讨好）,承认并接受自己的讨好行为,鼓励自己设立界限，减少过度妥协
,,,去人格化（对自己冷漠或消极的态度),承认并接受自己的去人格化,鼓励自己培养对自己的同理心
,,,不合理信念（觉得自己无关紧要）,承认并接受自己的不合理信念,鼓励自己重新评估自我价值，减少自我怀疑
,,,风险感知迟钝,承认并接受自己的风险感知迟钝,鼓励自己提高风险感知能力
,,,拖延自我关怀,承认并接受自己的拖延,鼓励自己制定计划，逐步进行自我关怀
,,,回避交流（关于自己的话题）,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,不重视自己的健康,"健康,自己",否认疾病,承认并接受自己的否认,鼓励自己正视健康问题
,,,拖延就诊拖延健身,承认并接受自己的拖延,鼓励自己制定计划，逐步进行健康管理
,,,去人格化（对自己冷漠或消极的态度),承认并接受自己的去人格化,鼓励自己培养对自己的同理心
,,,消极行为（熬夜酗酒吸烟不健康饮食）,承认并接受自己的消极行为,鼓励自己寻找替代行为，减少消极行为
,,,回避责任,承认并接受自己的回避责任,鼓励自己承担责任，减少回避
,,,认知失调（宿命论）,承认并接受自己的认知失调,鼓励自己寻找处理认知失调的方法
,,,悲观,承认并接受自己的悲观情绪,鼓励自己寻找处理悲观情绪的方法
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：无力感,承认并接受自己的无力感,鼓励自己从小事中获得自信和力量
个人成长,考试焦虑,学业,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,灾难化思维,承认并接受自己的灾难化思维,鼓励自己减少过度担忧，增强自信
,,,注意力涣散,承认并接受自己的注意力涣散,鼓励自己寻找提高注意力的方法
,,,拖延学习,承认并接受自己的拖延,鼓励自己制定计划，逐步完成任务
,,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：焦虑（学历）,承认并接受自己的焦虑,鼓励自己重新评估学历的价值，减少过度焦虑
,落榜,学业,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,灾难化思维,承认并接受自己的灾难化思维,鼓励自己减少过度担忧，增强自信
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,情绪：嫉妒,承认并接受自己的嫉妒,鼓励自己减少嫉妒，增强自信
,,,情绪：失望与沮丧,承认并接受自己的失望与沮丧,鼓励自己寻找处理失望与沮丧的方法
,,,情绪：愤怒与怨恨,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：焦虑（学历）,承认并接受自己的焦虑,鼓励自己重新评估学历的价值，减少过度焦虑
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,留学适应,学业,文化冲击,承认并接受自己的文化冲击,鼓励自己逐步适应新文化
,,,思乡,承认并接受自己的思乡,鼓励自己寻找处理思乡的方法
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：孤独,承认并接受自己的孤独感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（考试）,承认并接受自己的焦虑,鼓励自己制定计划，逐步应对考试
,,,情绪：焦虑（学历）,承认并接受自己的焦虑,鼓励自己重新评估学历的价值，减少过度焦虑
,,,情绪：焦虑（经济压力）,承认并接受自己的焦虑,鼓励自己寻找资源，改善经济状况
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,职业迷茫,工作,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,过度研究,承认并接受自己的过度研究,鼓励自己减少过度研究，增强行动力
,,,回避责任,承认并接受自己的回避责任,鼓励自己承担责任，减少回避
,,,拖延求职,承认并接受自己的拖延,鼓励自己制定计划，逐步进行求职
,,,决策困难,承认并接受自己的决策困难,鼓励自己从小事做起，逐步提高决策能力
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,,,情绪：愤怒与怨恨（自主性被侵犯）,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：焦虑（经济压力）,承认并接受自己的焦虑,鼓励自己寻找资源，改善经济状况
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
,定居点选择迷茫,工作,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,文化冲击,承认并接受自己的文化冲击,鼓励自己逐步适应新文化
,,,拖延决策,承认并接受自己的拖延,鼓励自己制定计划，逐步做出决策
,,,过度研究,承认并接受自己的过度研究,鼓励自己减少过度研究，增强行动力
,,,决策困难,承认并接受自己的决策困难,鼓励自己从小事做起，逐步提高决策能力
,,,回避责任,承认并接受自己的回避责任,鼓励自己承担责任，减少回避
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,,,情绪：焦虑（经济压力）,承认并接受自己的焦虑,鼓励自己寻找资源，改善经济状况
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
,找不到工作,工作,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,拖延求职,承认并接受自己的拖延,鼓励自己制定计划，逐步进行求职
,,,灾难化思维,承认并接受自己的灾难化思维,鼓励自己减少过度担忧，增强自信
,,,过度准备,承认并接受自己的过度准备,鼓励自己减少过度准备，增强行动力
,,,家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
,,,回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,消极行为（熬夜酗酒吸烟不健康饮食）,承认并接受自己的消极行为,鼓励自己寻找替代行为，减少消极行为
,,,情绪：愤怒与怨恨,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：焦虑（经济压力）,承认并接受自己的焦虑,鼓励自己寻找资源，改善经济状况
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
,生活工作不平衡,工作,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,过劳,承认并接受自己的过劳,鼓励自己寻找工作与生活的平衡
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,,,情绪：焦虑（疾病）,承认并接受自己的焦虑,鼓励自己寻找处理焦虑的方法
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,职业倦怠,工作,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,去人格化（对自己和他人冷漠或消极的态度),承认并接受自己的去人格化,鼓励自己培养对他人的同理心
,,,注意力涣散,承认并接受自己的注意力涣散,鼓励自己寻找提高注意力的方法
,,,拖延交付,承认并接受自己的拖延,鼓励自己制定计划，逐步完成任务
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,失业,工作,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,拖延求职,承认并接受自己的拖延,鼓励自己制定计划，逐步进行求职
,,,灾难化思维,承认并接受自己的灾难化思维,鼓励自己减少过度担忧，增强自信
,,,过度准备,承认并接受自己的过度准备,鼓励自己减少过度准备，增强行动力
,,,家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
,,,回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,消极行为（熬夜酗酒吸烟不健康饮食）,承认并接受自己的消极行为,鼓励自己寻找替代行为，减少消极行为
,,,情绪：愤怒与怨恨,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：焦虑（经济压力）,承认并接受自己的焦虑,鼓励自己寻找资源，改善经济状况
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
擦拭信念,补强,更勇敢,,,
,原谅,更勇敢,,,
,净输出,更勇敢,,,
,爱仇敌,更勇敢,,,
,为他人留下贡献和遗产,更勇敢,,,
