序号,自我肯定语,合集,合集理由,权重,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
841,我今天会专心学习新知识。,['个人成长'],"{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",不放'正在恋爱'的原因是这句话强调的是个人学习和成长，与恋爱关系的情感互动不直接相关；不放'最近刚分手'和'处在一段艰难的亲密关系中'的原因是这些状态更多涉及情感失落和关系矛盾，而这句话关注的是个人发展和积极行动；不放'有点辛苦的暗恋'的原因是这句话更多关注个人学习和成长，而不是涉及暗恋中的情感纠葛和人际交往。,['很好'],"['学业', '自己']",该自我肯定语表达了积极的学习态度和自我提升的愿望，适合推送给情感状态为'很好'的用户。句子中没有涉及家庭、健康、感情等因素，因此不放这些标签。,,,,,,
840,我懂得爱也懂得宽恕。,"['原谅', '亲密关系']","{'未选合集及理由': {'个人成长': '语句未聚焦于个人发展或学习进步。', '自信': '未强调面对挑战时的自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '最近刚分手', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情']",自我肯定语 '我懂得爱也懂得宽恕' 适合于 '正在恋爱' 的用户，因为恋爱中需要理解和宽恕来维护关系；适合 '最近刚分手' 的用户，因为宽恕可以帮助他们释怀过去；适合 '处在一段艰难的亲密关系中' 的用户，因为宽恕和爱是解决矛盾的关键；适合 '单身但准备好了开始新的恋情' 的用户，因为他们需要懂得爱和宽恕来迎接新的关系。而 '快乐地单身着' 和 '有点辛苦的暗恋' 的用户，虽然也与爱和宽恕有关，但这句话更侧重于亲密关系中的宽恕和爱，所以不选择这两个标签。,"['很好', '一般']","['感情', '自己']",该自我肯定语表达了对爱和宽恕的理解，适合于情感状态为'很好'和'一般'的用户。句子中没有明显的负面情感，因此不适合'不好'和'糟糕'的情感状态。'感情'和'自己'是与感受相关的因素，因为句子涉及到爱和宽恕，这与个人情感和自我认知有关。,,,,,,
843,即使道路曲折，我亦能走出自己的坦途。,"['艰难时刻', '自信', '个人成长', '积极心态']","{'未选合集及理由': {'平静内心': '语句未聚焦寻找心理宁静的需求。', '抗击抑郁': '语句未涉及低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",最近刚分手：虽然这句话有鼓励和自我肯定的意味，但它并没有直接涉及到情感失落或疗愈，因此不特别适用于最近刚分手的用户。,"['一般', '不好', '糟糕']",['自己'],该自我肯定语表达了即使面对困难和挑战，也能走出自己的道路，因此适合推送给情感状态为'一般'的用户，鼓励他们面对挑战。同时，它也适合情感状态为'不好'和'糟糕'的用户，为他们提供信心和力量。句子中没有提及家庭、朋友、工作、健康、感情或学业等具体因素，因此只选择'自己'作为相关因素。,,,,,,
844,我学习新技能，就能面对更多可能。,"['个人成长', '自信', '点燃动力']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的原因是，这句话强调的是个人成长和面对更多可能，与这两个感情状况的特定情感需求不匹配。不放'有点辛苦的暗恋'的原因是，这句话没有涉及到人际交往或勇气，而是关于个人成长和技能学习。,"['开心', '很好']","['学业', '自己']",这句话表达了通过学习新技能来面对更多可能性的积极态度，适合开心和很好的情绪状态。句子中没有提到家庭、健康、感情等其他因素，所以不放这些标签。,,,,,,
842,我在爱意中成长，每一天都充满希望。,"['亲密关系', '积极心态', '愉悦心情']","{'未选合集及理由': {'个人成长': '语句未强调个人发展或学习进步。', '自信': '未涉及自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '虽然语句包含积极情绪，但更侧重于亲密关系和希望，故优先归入其他合集。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '单身但准备好了开始新的恋情']",自我肯定语'我在爱意中成长，每一天都充满希望'具有积极和希望的语义，适合正在恋爱的人，因为他们正处于爱意中。同时，对于单身但准备好了开始新的恋情的人来说，这句话也适合，因为它传达了对未来爱情充满希望的态度。这句话不适合'最近刚分手'的人，因为它没有涉及情感失落或疗愈的主题。也不适合'处在一段艰难的亲密关系中'的人，因为它没有涉及关系中的矛盾或挣扎。同样，不适合'有点辛苦的暗恋'的人，因为它没有涉及人际交往或勇气的主题。,"['开心', '很好']","['感情', '自己']",该自我肯定语表达了在爱意中成长和每天充满希望的积极情绪，适合推送给'开心'和'很好'的用户。句子中没有涉及家庭、朋友、工作、健康、学业等其他因素，所以没有选择这些标签。,,,,,,
846,每一次尝试都让我更接近成功。,"['个人成长', '积极心态', '点燃动力', '自信']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是尝试和成功，与情感失落、疗愈、反思或关系中的矛盾、困惑、挣扎无关。不放'有点辛苦的暗恋'的理由是，这句话没有涉及人际交往合集中的勇气、疗愈、鼓励或人际关系上的主动。,"['开心', '很好']","['工作', '学业', '自己']",这句话表达了每一次尝试都让我们更接近成功，具有积极的情感倾向，因此适合推送给'开心'和'很好'的用户。句子中没有提到家庭、朋友、健康或感情，所以这些标签不适用。,,,,,,
845,今天我会微笑着面对所有的不顺。,"['积极心态', '愉悦心情']","{'未选合集及理由': {'个人成长': '语句未聚焦于个人发展或学习进步。', '自信': '未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '已选，语句传达了积极乐观的情绪状态。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '最近刚分手', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",自我肯定语“今天我会微笑着面对所有的不顺”具有普遍的积极和鼓励性质，适合所有感情状况的用户。这句话没有特定针对某一种感情状态，而是鼓励每个人无论处于何种感情状态，都能以积极的态度面对生活中的困难和挑战。因此，所有标签都适用，无需特别排除。,"['很好', '一般']",['自己'],该自我肯定语表达了积极的态度和自信，适合推送给感觉'很好'和'一般'的用户。句子中没有提及家庭、朋友、工作、健康、感情和学业等因素，因此只选择'自己'作为相关因素。,,,,,,
847,我能感受到内心的平静。,['平静内心'],"{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '未体现滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这两个状态通常与内心的不安和挣扎相关，而这句话强调的是内心的平静，与这两个状态的情感状态不匹配。不放'有点辛苦的暗恋'的理由是，这句话强调的是内心的平静，而暗恋状态中的人可能更多地体验到的是焦虑和不安，与这句话的情感状态不匹配。,['很好'],['自己'],该自我肯定语表达了内心的平静，符合'很好'的情感状态，与'开心'的情感状态也相关，但由于句子特征中提到'很好'更倾向于积极情绪、满足感或幸福感，因此选择'很好'。句子中没有提及家庭、朋友、工作、健康、感情、学业等因素，所以只选择了'自己'。,,,,,,
848,我感到疲劳时可以暂时放慢脚步。,"['自我关怀', '减压放松']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",最近刚分手的用户可能需要更多关于情感疗愈和释怀的自我肯定语，而这句话更多是关于个人状态的调整，并不直接关联情感疗愈或释怀。,"['不好', '糟糕']","['健康', '自己']",该自我肯定语表达了在感到疲劳时可以放慢节奏，这与'不好'和'糟糕'情绪状态相符，因为它们可能包含需要安慰和情绪调节的元素。同时，这句话提到了'疲劳'，这与'健康'和'自己'相关，因为疲劳可能与个人健康和自我关怀有关。没有选择'开心'、'很好'和'一般'，因为这些状态通常不涉及需要放慢脚步的疲劳感。,,,,,,
849,我接受现在的自己，我有我的价值。,"['自尊心', '我很好']","{'未选合集及理由': {'个人成长': '语句未强调个人发展或学习进步。', '自信': '虽然句子表达了自我价值，但更侧重于自尊和自我接纳，而非自信。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '最近刚分手', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'处在一段艰难的亲密关系中'的标签，因为这句话强调的是接受自己和个人价值，而不是解决关系中的矛盾和挣扎。不放'有点辛苦的暗恋'的标签，因为这句话没有涉及到人际交往或勇气，而是关于自我接受和价值。,"['很好', '一般']",['自己'],该自我肯定语表达了对自我价值的肯定和接受，适合推送给情感状态为'很好'和'一般'的用户。句子中没有涉及家庭、朋友、工作、健康、感情、学业等外部因素，而是强调了自我认知和自我价值，因此只选择了'自己'作为相关因素。,,,,,,
850,我拥有无尽的创意灵感。,"['个人成长', '焕发生命力', '积极心态']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人的创造力和积极自我肯定，与感情状态中的失落和矛盾不直接相关。不放'有点辛苦的暗恋'的理由是，这句话虽然积极，但并没有直接关联到暗恋中的勇气或人际交往的主动性。,"['开心', '很好', '一般']",['自己'],自我肯定语'我拥有无尽的创意灵感'表达了自信和力量感，适合推送给'开心'、'很好'和'一般'情感状态的用户。句子中没有涉及家庭、朋友、工作、健康、感情和学业相关的内容，所以不选择这些标签。,,,,,,
851,我每天坚持一点，自信就会慢慢积累。,"['自信', '个人成长']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'有点辛苦的暗恋'的理由：这句话强调的是个人自信的积累，与情感失落、疗愈或对过去关系的释怀无关，因此不适合'最近刚分手'；同时，这句话没有提及人际交往或勇气，因此也不适合'有点辛苦的暗恋'。,"['开心', '很好', '一般']",['自己'],这句话是积极的自我肯定语，鼓励用户通过每天的努力积累自信，因此适合推送给感到开心、很好和一般的用户。这句话没有涉及家庭、朋友、工作、健康、感情或学业等外部因素，所以只选择'自己'作为相关因素。,,,,,,
853,我接受今天的自己，一切都挺好。,"['自我关怀', '我很好']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是接受自己和现状，而这两个状态的用户可能更多地需要处理情感上的失落和关系中的矛盾，而不是简单地接受现状。不放'有点辛苦的暗恋'的理由是，这句话没有涉及到对他人的情感，而是关注自我接纳，而暗恋状态的用户可能更关注对他人的情感和互动。,"['很好', '一般']",['自己'],该自我肯定语表达了对当前状态的接受和积极态度，适合推送给情感状态为'很好'和'一般'的用户。句子中没有提及家庭、朋友、工作、健康、感情或学业等具体因素，因此只选择了'自己'作为相关因素。,,,,,,
852,我的内心有方向，不急于一时。,"['平静内心', '个人成长', '擦拭信念']","{'未选合集及理由': {'自信': '虽然句子含有自信元素，但更侧重于内心的方向和不急躁，而非强调自我信任和能力。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '虽有积极元素，但更侧重于内心的平和和方向感。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调内心的方向和不急于一时，对于刚经历分手或处于关系困境的人来说，可能需要更多关于疗愈和解决当前问题的句子，而不是强调未来的不急躁。不放'有点辛苦的暗恋'的理由是，这句话更多关注个人内心的方向和节奏，而暗恋中的人可能更需要关于勇气和主动的句子，以帮助他们面对和解决当前的情感困境。,['一般'],['自己'],该自我肯定语表达了内心的方向和不急于一时的态度，适合一般情绪状态的用户。句子中没有提及家庭、朋友、工作、健康、感情或学业相关的内容，因此不选择这些标签。,,,,,,
