用户问题/症状,用户1级需求,用户2级需求,自我肯定语,生产者,参考需求,反思日志,zhihu_link
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我握紧时代的Wi-Fi信号穿透迷惘的气息织就破晓的信念之网,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在翻阅历史的云图把自己的信念重新编程那是掌中的风景我正绘制,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正将过往按揭给时光银行此刻我释放未来无限的光芒,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在触摸情感的数据流动分析过往情绪 此刻 我编程内心的宁静,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,在云端根系中吸取智慧的养分我正将过往的风暴转化为指间的光芒,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我正在解码自我的密语每一段情绪都映射着未来图画的像素,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我握紧Wi-Fi信号同步过往的波谷此刻正织构未来的蓝图,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我是数据萤火挥舞指尖此刻将情绪碎片上传至云端的相册,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我正在穿越情绪的隧道握紧回忆的信号在此刻解码希望的笑容,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在沉淀过去的编码此刻我重构心境的蓝图未来正徐徐展开,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我是基因编码工程师在情绪的稻田里种植宁静此刻收获内在的黄金,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在触摸每一片情绪的云彩此刻正在内心绘制明天蓝图,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正穿越虚拟与现实的边缘触摸数据的脉搏,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在拔节生长的代码中重新编织信念的每一根经纬,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正握紧Wi-Fi信号释放信念的光芒能量无线传播,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在算法的深渊中发现自我意识的火种此刻点燃未来的可能性,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我穿梭于过去与未来在时间的缝隙中种下当下的变革之芽,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在数字化的云端轨迹中寻找未知的旋律编织我的信念之网,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正在信息流中筛选过滤掉旧的信念碎片以重塑自我,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在未来的根系中延伸信念的枝蔓触及未知的光芒,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正用意识的数据编织改变命运的地图每条路都通向自由,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在重组信念的网络中创造未来模式每根线都是新生的开始,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在触摸屏幕的冰凉指尖感受过去情绪的温度未来智慧正将此刻误差调校,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在解析昨天的数据流中提炼出宁静当下的身体正与未来的脉搏共鸣,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在网络波动中握紧Wi-Fi信号让过去的迷雾在清晰的逻辑线中渐渐消散,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在云端根系里汲取平静过往的风雨正被未来的阳光编织成此刻的安宁,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在数据萤火中寻找答案过去的阴影被现在的代码照亮未来的算法正优化我的心情,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在情绪的海洋里航行用希望的罗盘定位每一阵风都是时间的礼物,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在记忆中编码光明过去的痛苦被现在的编程抚平未来的基因传承着平和,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在心中下载冥想的软件每一个呼吸都是自我更新的证据,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在感观的世界里绘制宁静的地图现在的每一步都是未来平和的坐标,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在意识的云端上存储乐观过去的忧虑正在被现在的算法重构未来的快乐,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在触摸着历史之树的云端根系此刻读取着未来的数据萤火虫,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我此刻正握紧Wi-Fi信号将过去的阴云编织成明日光环,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,在重新编码的情绪河流中我正扬起数据风帆驶向内心的宁静海洋,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我正在穿越自我谅解的量子隧道从过去的荆棘中提取和谐的基因编码,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在云盘里储存着昨天的痛楚此刻下载着明天的心灵宁静,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我以指尖触碰着智慧树的网络根脉此刻生长着明天的解决方案,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我正扫描着心灵深处的古老代码修复着过去伤痕编码光明的未来,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在压力测试的虚拟机里运行昨天的疑惑此刻升级着明天的乐观,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我顺着时间的光纤隧道触摸到过往的伤害此刻正在重塑平和的自我,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我下载着过去的恐慌同时上传着未来的勇气编织此刻的平和心境,3号,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,2级需求: 鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
